region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,0.0,0.0,1.3043080512e7,0.0,4.3337178375e6,0.0,0.0,0.0,0.0,6.3878476e7,0.0,1727835,0.0,0.0,0.0,6.5606311e7,1.73767983495e7,4.82295126505e7
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,3.0812134924999997e7,0.0,0.0,0.0,0.0,0.0,0.0,1.3915376e8,0.0,3462375,0.0,0.0,0.0,1.42616135e8,3.0812134924999997e7,1.11804000075e8
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,7.0919864226e7,0.0,0.0,0.0,0.0,0.0,1.1402592e8,3.442279e8,0.0,29404403,0.0,0.0,0.0,3.73632307e8,1.84945784226e8,1.88686522774e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,4,0.0,0.0,7.280416739566581e7,0.0,8.74718225e6,4.912322110175803e7,0.0,1.612381246796231e7,0.0,2.5220533e8,0.0,115294862,0.0,1.782121931306344e8,0.0,3.6750019e8,3.250105763460206e8,4.248961365397942e7
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,5,0.0,0.0,3.719669895769801e7,0.0,174.94199752807614,904.1938957653416,0.0,311.81491540973417,0.0,3569.0554,0.0,37196246,0.0,3142.4902842371353,0.0,3.719981505541992e7,3.720123239879095e7,-1417.343371026218
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,6,0.0,0.0,3.651900227785127e6,0.0,5822.2427978515625,39631.63078189077,0.0,117227.56721004564,0.0,319070.12,0.0,4924866,0.0,151447.9387308368,0.0,5.243936125e6,3.9660296073057516e6,1.2779065176942484e6
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,7,0.0,0.0,877113.1960053277,0.0,1.842974475e6,5.552269432876812e6,0.0,816278.1062606566,0.0,3.5861564e7,0.0,1021291,0.0,1.837138239680261e7,0.0,3.6882855e7,2.746001760694541e7,9.42283739305459e6
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,8,0.0,0.0,30406.7980610681,0.0,5462.151601562501,0.0,0.0,127.31012060132214,0.0,361178.5,0.0,9774,0.0,105.40102008055118,0.0,370952.5,36101.66080331247,334850.8391966875
NENGREST,NENGREST_nuclear_1,1,1,9,0.0,0.0,3.375979235516086e8,0.0,2.385267168e7,7.420443140746963e7,0.0,52.07825516561715,0.0,7.4635046e8,0.0,20233174,0.0,0.0,0.0,7.66583638e8,4.3565507871733344e8,3.3092855928266656e8
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,10,0.0,0.0,3.8531997267501736e6,0.0,0.0,0.0,0.0,0.0,0.0,1.8072376e7,0.0,420408,0.0,0.0,0.060617761324489046,1.849278406061776e7,3.8531997267501736e6,1.4639584333867587e7
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,11,0.0,0.0,6.299288882455674e6,0.0,-4.20621384375e6,0.0,0.0,0.0,0.0,1.3787381e7,0.0,258271,0.0,0.0,1.4473267195312712e7,2.8518919195312712e7,2.093075038705674e6,2.642584415660704e7
NENGREST,NENGREST_small_hydroelectric_1,1,1,12,0.0,0.0,8.660848625e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.660848625e6,-8.660848625e6
NENGREST,NENGREST_solar_photovoltaic_1,1,1,13,0.0,0.0,1.5409463347841766e7,0.0,0.0,0.0,0.0,0.0,0.0,5.390578e7,0.0,304628,0.0,0.0,746685.9931674325,5.495709399316743e7,1.5409463347841766e7,3.954763064532566e7
NENG_CT,NENG_CT_biomass_1,1,1,14,0.0,0.0,3.3508500480000004e6,0.0,1.17397891171875e6,0.0,0.0,0.0,0.0,1.6407453e7,0.0,443892,0.0,0.0,0.0,1.6851345e7,4.524828959718751e6,1.232651604028125e7
NENG_CT,NENG_CT_conventional_hydroelectric_1,1,1,15,0.0,0.0,3.1463575e6,0.0,0.0,0.0,0.0,0.0,0.0,1.2405983e7,0.0,367911,0.0,0.0,0.0,1.2773894e7,3.1463575e6,9.6275365e6
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,1,1,16,0.0,0.0,1.2434628869999999e6,0.0,0.0,0.0,0.0,0.0,2.1527022e6,6.1889115e6,0.0,515396,0.0,0.0,0.0,6.7043075e6,3.396165137e6,3.308142363e6
