Constraint,CapRes_1
t1,1.1332692565321113e-6
t2,1.0411457923523606e-6
t3,1.0410987900250749e-6
t4,1.125850391345121e-6
t5,1.1424829955688221e-6
t6,1.1515791300095412e-6
t7,1.221848225501315e-6
t8,1.285153623897241e-6
t9,1.9309544967996532e-6
t10,1.568030164611898e-6
t11,1.474014905222577e-6
t12,1.4296972283408697e-6
t13,1.3735248073781968e-6
t14,1.4188360522227646e-6
t15,1.5245707112654702e-6
t16,1.96937659541302e-6
t17,2.0861350135192736e-6
t18,1.5671535986766212e-6
t19,1.4917721826794603e-6
t20,1.394410956341613e-6
t21,1.3774787304502057e-6
t22,1.1688887348521242e-6
t23,1.0375957420140875e-6
t24,9.783969320993152e-7
t25,9.96860073935512e-7
t26,9.59899547443728e-7
t27,9.27386691029973e-7
t28,9.260739519540169e-7
t29,9.489568251114181e-7
t30,9.595834942232302e-7
t31,9.905504060542618e-7
t32,1.0591257709708531e-6
t33,1.09687301261231e-6
t34,1.0295355831296535e-6
t35,1.0265637430322884e-6
t36,9.515192188158437e-7
t37,9.9881300621612e-7
t38,1.0860329927161796e-6
t39,1.1665208018266374e-6
t40,1.2385564149117782e-6
t41,1.4884667979761506e-6
t42,2.3733884730901836e-6
t43,2.5291842291119923e-6
t44,2.3666938598182906e-6
t45,2.2964650398276417e-6
t46,1.838439902605253e-6
t47,1.54115386026585e-6
t48,1.4217641917481741e-6
t49,1.3635939749045574e-6
t50,1.363913399768817e-6
t51,1.3870805561868515e-6
t52,1.3763017720307794e-6
t53,1.3182518670931056e-6
t54,1.358853814472317e-6
t55,1.613833462059369e-6
t56,1.8027080143090764e-6
t57,2.23769083787938e-6
t58,1.6098582779205283e-6
t59,1.4491824462378253e-6
t60,1.336093222101955e-6
t61,1.1521730351754303e-6
t62,1.139856332539365e-6
t63,1.2467911569193176e-6
t64,1.382484240374702e-6
t65,1.5699714789672063e-6
t66,1.951342906244548e-6
t67,1.912516541980023e-6
t68,1.89520905057655e-6
t69,1.7622711006348747e-6
t70,1.6359656597891e-6
t71,1.4679167556801633e-6
t72,1.2838756412430338e-6
t73,1.2010220756319685e-6
t74,1.1682980129800263e-6
t75,1.1565854990277582e-6
t76,1.1509463253805375e-6
t77,1.156332443218542e-6
t78,1.2487290247335335e-6
t79,1.5071447120757685e-6
t80,1.785880769746542e-6
t81,1.740255301658498e-6
t82,1.6368194172787888e-6
t83,1.6259415197699418e-6
t84,1.7824991312840872e-6
t85,1.7431265719769265e-6
t86,1.7050051260548843e-6
t87,1.869800548803851e-6
t88,3.171620893847141e-6
t89,6.945216613459611e-6
t90,1.567024417824987e-5
t91,1.4615876766757227e-5
t92,1.3391377054429613e-5
t93,7.777250096345286e-6
t94,2.7904398040034216e-6
t95,1.7163454144756426e-6
t96,1.4632301098956133e-6
t97,1.44786794239908e-6
t98,1.3846015263019957e-6
t99,1.4119006910735894e-6
t100,1.3495807815872234e-6
t101,1.5727599036907775e-6
t102,1.7103471168985546e-6
t103,2.628635553370105e-6
t104,3.622113975867227e-6
t105,4.039037124467937e-6
t106,3.1091618783474637e-6
t107,2.7682378028018032e-6
t108,2.259278568280556e-6
t109,2.0623625961886188e-6
t110,2.0794690674945553e-6
t111,2.084793794262751e-6
t112,2.508044911932896e-6
t113,2.7320694767684756e-6
t114,3.5311788221674853e-6
t115,4.123410832074737e-6
t116,3.7475063519054646e-6
t117,3.2539030636707e-6
t118,2.475015166770253e-6
t119,1.6490105216828216e-6
t120,1.4246516567051253e-6
t121,1.4225007881004298e-6
t122,1.3753848516167622e-6
t123,1.3602590944660091e-6
t124,1.5309072489233786e-6
t125,1.6244935534823487e-6
t126,1.986265210802459e-6
t127,2.640127247888088e-6
t128,3.226162078095717e-6
t129,2.9451240587980615e-6
t130,2.0594705127194187e-6
t131,1.7207246283037088e-6
t132,1.6811529857628765e-6
t133,1.6555881695000472e-6
t134,1.661821135364976e-6
t135,2.0607476027885874e-6
t136,1.8193890481197482e-6
t137,1.736438667451963e-6
t138,1.870830685182458e-6
t139,1.7594996854694541e-6
t140,1.459585243818513e-6
t141,1.383136766890359e-6
t142,1.3738051156897621e-6
t143,1.344582164434607e-6
t144,1.2195031788585137e-6
t145,1.1473789627122327e-6
t146,1.0502782139882572e-6
