Resource,NENGREST_Fusion,Total
Zone,1,0
AnnualSum,3.464616e7,3.464616e7
t1,3999.9981758448607,3999.9981758448607
t2,3999.9981802198135,3999.9981802198135
t3,3999.998206992103,3999.998206992103
t4,3999.9981843967407,3999.9981843967407
t5,3999.9981766809397,3999.9981766809397
t6,3999.99820439806,3999.99820439806
t7,3999.998216320657,3999.998216320657
t8,3999.998257308044,3999.998257308044
t9,3999.9982400129115,3999.9982400129115
t10,3999.9981752629715,3999.9981752629715
t11,3999.998166334402,3999.998166334402
t12,3999.998024710927,3999.998024710927
t13,3999.998002103122,3999.998002103122
t14,3999.998017917353,3999.998017917353
t15,3999.9982101214086,3999.9982101214086
t16,3999.9981970230274,3999.9981970230274
t17,3999.9982988405745,3999.9982988405745
t18,3999.998245635702,3999.998245635702
t19,3999.998220905363,3999.998220905363
t20,3999.9982121409707,3999.9982121409707
t21,3999.998235589735,3999.998235589735
t22,3999.9981815087476,3999.9981815087476
t23,3999.9981846797978,3999.9981846797978
t24,3999.998207681687,3999.998207681687
t25,3999.99817306354,3999.99817306354
t26,3999.9981759430084,3999.9981759430084
t27,3999.998201013225,3999.998201013225
t28,3999.998178298152,3999.998178298152
t29,3999.9981840812793,3999.9981840812793
t30,3999.998198012174,3999.998198012174
t31,3999.9981745742616,3999.9981745742616
t32,3999.99819373718,3999.99819373718
t33,3999.9981780129765,3999.9981780129765
t34,3999.9979646130723,3999.9979646130723
t35,3999.9979602837584,3999.9979602837584
t36,3999.9979826319022,3999.9979826319022
t37,3999.997959378717,3999.997959378717
t38,3999.9979660118056,3999.9979660118056
t39,3999.9979917262544,3999.9979917262544
t40,3999.998043538233,3999.998043538233
t41,3999.9982146702696,3999.9982146702696
t42,3999.998238764286,3999.998238764286
t43,3999.998229822699,3999.998229822699
t44,3999.9982969190482,3999.9982969190482
t45,3999.9982362177548,3999.9982362177548
t46,3999.9982104698006,3999.9982104698006
t47,3999.998215369302,3999.998215369302
t48,3999.99824152594,3999.99824152594
t49,3999.9982195045677,3999.9982195045677
t50,3999.9982113260985,3999.9982113260985
t51,3999.998236297597,3999.998236297597
t52,3999.998213741683,3999.998213741683
t53,3999.9982181096907,3999.9982181096907
t54,3999.998245931065,3999.998245931065
t55,3999.9982119173956,3999.9982119173956
t56,3999.998218021463,3999.998218021463
t57,3999.9982399924365,3999.9982399924365
t58,3999.9981938387446,3999.9981938387446
t59,3999.9981917928676,3999.9981917928676
t60,3999.998006632048,3999.998006632048
t61,3999.997982156303,3999.997982156303
t62,3999.9979660124477,3999.9979660124477
t63,3999.9979939666464,3999.9979939666464
t64,3999.9981207175692,3999.9981207175692
t65,3999.9982221225273,3999.9982221225273
t66,3999.998281333278,3999.998281333278
t67,3999.99825692563,3999.99825692563
t68,3999.9982554930584,3999.9982554930584
t69,3999.9982499394714,3999.9982499394714
t70,3999.9982129488803,3999.9982129488803
t71,3999.9982152488283,3999.9982152488283
t72,3999.9982089736955,3999.9982089736955
t73,3999.9981846211754,3999.9981846211754
t74,3999.9981911361183,3999.9981911361183
t75,3999.9982058639234,3999.9982058639234
t76,3999.9981809846317,3999.9981809846317
t77,3999.998185203972,3999.998185203972
t78,3999.998216093382,3999.998216093382
t79,3999.9982261729806,3999.9982261729806
t80,3999.998224139619,3999.998224139619
t81,3999.9982061611868,3999.9982061611868
t82,3999.9981875343624,3999.9981875343624
t83,3999.9981919435695,3999.9981919435695
t84,3999.99822205744,3999.99822205744
t85,3999.99818501305,3999.99818501305
t86,3999.9981858303463,3999.9981858303463
t87,3999.998207181577,3999.998207181577
t88,3999.998220527667,3999.998220527667
t89,3999.9982337351494,3999.9982337351494
t90,3999.9982652177114,3999.9982652177114
t91,3999.998293573092,3999.998293573092
t92,3999.998230918497,3999.998230918497
t93,3999.998257732535,3999.998257732535
t94,3999.998228487754,3999.998228487754
t95,3999.9981821523065,3999.9981821523065
t96,3999.9982060136085,3999.9982060136085
t97,3999.9981821097745,3999.9981821097745
t98,3999.998186939933,3999.998186939933
t99,3999.998216451793,3999.998216451793
t100,3999.9981794159703,3999.9981794159703
t101,3999.998190798132,3999.998190798132
t102,3999.998248081374,3999.998248081374
t103,3999.9982370721964,3999.9982370721964
t104,3999.9982958517826,3999.9982958517826
t105,3999.9982482092405,3999.9982482092405
t106,3999.9982210653243,3999.9982210653243
t107,3999.998221288888,3999.998221288888
t108,3999.9982187306377,3999.9982187306377
t109,3999.998195002211,3999.998195002211
t110,3999.9981873427837,3999.9981873427837
t111,3999.998214064092,3999.998214064092
t112,3999.998191360699,3999.998191360699
t113,3999.998226008758,3999.998226008758
t114,3999.9982563155627,3999.9982563155627
t115,3999.998228852696,3999.998228852696
t116,3999.9982765336867,3999.9982765336867
t117,3999.9982495272857,3999.9982495272857
t118,3999.9982216501407,3999.9982216501407
t119,3999.9982247284192,3999.9982247284192
t120,3999.998205043913,3999.998205043913
t121,3999.9981804368995,3999.9981804368995
t122,3999.9981837060495,3999.9981837060495
t123,3999.9982154580625,3999.9982154580625
t124,3999.998225868767,3999.998225868767
t125,3999.9982171449647,3999.9982171449647
t126,3999.9982431342505,3999.9982431342505
t127,3999.9982298412688,3999.9982298412688
t128,3999.998275545661,3999.998275545661
t129,3999.998252325371,3999.998252325371
t130,3999.998215399372,3999.998215399372
t131,3999.9981894036546,3999.9981894036546
t132,3999.998209553246,3999.998209553246
t133,3999.998023962023,3999.998023962023
t134,3999.998031176143,3999.998031176143
t135,3999.9980491892375,3999.9980491892375
t136,3999.9981867348365,3999.9981867348365
t137,3999.998237046658,3999.998237046658
t138,3999.9983287261034,3999.9983287261034
t139,3999.998225844642,3999.998225844642
t140,3999.998218230522,3999.998218230522
t141,3999.998242247932,3999.998242247932
t142,3999.998216951595,3999.998216951595
t143,3999.9981908514487,3999.9981908514487
t144,3999.9982155121156,3999.9982155121156
t145,3999.9981806494425,3999.9981806494425
t146,3999.9981823844796,3999.9981823844796
t147,3999.9982071614,3999.9982071614
t148,3999.9981855134297,3999.9981855134297
t149,3999.9981956007864,3999.9981956007864
t150,3999.9982411673823,3999.9982411673823
t151,3999.998217804678,3999.998217804678
t152,3999.9982219045733,3999.9982219045733
t153,3999.9982445023234,3999.9982445023234
t154,3999.998184559599,3999.998184559599
t155,3999.9980387093024,3999.9980387093024
t156,3999.9979832714534,3999.9979832714534
t157,3999.9979612862667,3999.9979612862667
t158,3999.99796834002,3999.99796834002
t159,3999.9979990105103,3999.9979990105103
t160,3999.9981897205166,3999.9981897205166
t161,3999.9982195692824,3999.9982195692824
t162,3999.9982436443993,3999.9982436443993
t163,3999.9982226505513,3999.9982226505513
t164,3999.9982277811914,3999.9982277811914
t165,3999.9982411295955,3999.9982411295955
t166,3999.9982181888754,3999.9982181888754
t167,3999.998222315073,3999.998222315073
t168,3999.9982486468343,3999.9982486468343
t169,3999.9982278886696,3999.9982278886696
t170,3999.9982174331653,3999.9982174331653
t171,3999.998219394946,3999.998219394946
t172,3999.998185998473,3999.998185998473
t173,3999.9981889925475,3999.9981889925475
t174,3999.998214744618,3999.998214744618
t175,3999.9981853290597,3999.9981853290597
t176,3999.998216880236,3999.998216880236
t177,3999.9982072145845,3999.9982072145845
t178,3999.998191806465,3999.998191806465
t179,3999.99819915258,3999.99819915258
t180,3999.9982121214603,3999.9982121214603
t181,3999.9981889328915,3999.9981889328915
t182,3999.9981929855608,3999.9981929855608
t183,3999.99821812032,3999.99821812032
t184,3999.998193415989,3999.998193415989
t185,3999.998222030887,3999.998222030887
t186,3999.998261580378,3999.998261580378
t187,3999.9982321113507,3999.9982321113507
t188,3999.9982980938107,3999.9982980938107
t189,3999.9982480902336,3999.9982480902336
t190,3999.998211866567,3999.998211866567
t191,3999.998182339581,3999.998182339581
t192,3999.9982091325937,3999.9982091325937
t193,3999.99820844195,3999.99820844195
t194,3999.998212561348,3999.998212561348
t195,3999.998205150436,3999.998205150436
t196,3999.998181464517,3999.998181464517
t197,3999.998188805788,3999.998188805788
t198,3999.9982477539556,3999.9982477539556
t199,3999.998230128956,3999.998230128956
t200,3999.99825346671,3999.99825346671
t201,3999.9982431877334,3999.9982431877334
t202,3999.998218306315,3999.998218306315
t203,3999.99818894916,3999.99818894916
t204,3999.998217249959,3999.998217249959
t205,3999.998180157291,3999.998180157291
t206,3999.9981892955243,3999.9981892955243
t207,3999.9982093255394,3999.9982093255394
t208,3999.998190810805,3999.998190810805
t209,3999.998237082868,3999.998237082868
t210,3999.998300015002,3999.998300015002
t211,3999.9982675846545,3999.9982675846545
t212,3999.998230088936,3999.998230088936
t213,3999.998254456397,3999.998254456397
t214,3999.998231323304,3999.998231323304
t215,3999.998219626411,3999.998219626411
t216,3999.9982454034944,3999.9982454034944
t217,3999.998219676499,3999.998219676499
t218,3999.9982230824653,3999.9982230824653
t219,3999.9982513236414,3999.9982513236414
t220,3999.998215974802,3999.998215974802
t221,3999.9982195005346,3999.9982195005346
t222,3999.9982468423104,3999.9982468423104
t223,3999.9982264451714,3999.9982264451714
t224,3999.998246850735,3999.998246850735
t225,3999.998246302573,3999.998246302573
t226,3999.998219587577,3999.998219587577
t227,3999.9981897066923,3999.9981897066923
t228,3999.9982150981295,3999.9982150981295
t229,3999.998193401906,3999.998193401906
t230,3999.9981850719255,3999.9981850719255
t231,3999.9982115681855,3999.9982115681855
t232,3999.998190324957,3999.998190324957
t233,3999.9982251056094,3999.9982251056094
t234,3999.99825224801,3999.99825224801
t235,3999.9982160142836,3999.9982160142836
t236,3999.998218908864,3999.998218908864
t237,3999.998245680782,3999.998245680782
t238,3999.998219490427,3999.998219490427
t239,3999.998192494893,3999.998192494893
t240,3999.9982070245014,3999.9982070245014
t241,3999.9981826494018,3999.9981826494018
t242,3999.998186180494,3999.998186180494
t243,3999.9982153178053,3999.9982153178053
t244,3999.998224142645,3999.998224142645
t245,3999.9982149296266,3999.9982149296266
t246,3999.998240608526,3999.998240608526
t247,3999.9982272829307,3999.9982272829307
t248,3999.998284390105,3999.998284390105
t249,3999.9982444250118,3999.9982444250118
t250,3999.9981778105985,3999.9981778105985
t251,3999.998181028608,3999.998181028608
t252,3999.998207593383,3999.998207593383
t253,3999.998184364937,3999.998184364937
t254,3999.9981895562173,3999.9981895562173
t255,3999.998203500559,3999.998203500559
t256,3999.9981831343234,3999.9981831343234
t257,3999.9982315993725,3999.9982315993725
t258,3999.998322280692,3999.998322280692
t259,3999.998226568486,3999.998226568486
t260,3999.9982118492067,3999.9982118492067
t261,3999.998238649483,3999.998238649483
t262,3999.998216722084,3999.998216722084
t263,3999.9982156111696,3999.9982156111696
t264,3999.9982106572174,3999.9982106572174
t265,3999.9981754998016,3999.9981754998016
t266,3999.9981790361867,3999.9981790361867
t267,3999.9982037493314,3999.9982037493314
t268,3999.9981827317633,3999.9981827317633
t269,3999.9981882031852,3999.9981882031852
t270,3999.9982017372795,3999.9982017372795
t271,3999.9981900459647,3999.9981900459647
t272,3999.998219422575,3999.998219422575
t273,3999.998244063709,3999.998244063709
t274,3999.9982226975208,3999.9982226975208
t275,3999.99821135682,3999.99821135682
t276,3999.998201304804,3999.998201304804
t277,3999.998179160663,3999.998179160663
t278,3999.998183050112,3999.998183050112
t279,3999.9982078950156,3999.9982078950156
t280,3999.9981757640767,3999.9981757640767
t281,3999.99821116108,3999.99821116108
t282,3999.998237471909,3999.998237471909
t283,3999.9982358350185,3999.9982358350185
t284,3999.9982370665725,3999.9982370665725
t285,3999.998230659015,3999.998230659015
t286,3999.99821019545,3999.99821019545
t287,3999.9982322374144,3999.9982322374144
t288,3999.998257403837,3999.998257403837
t289,3999.998233367592,3999.998233367592
t290,3999.9982053851686,3999.9982053851686
t291,3999.9982268796816,3999.9982268796816
t292,3999.998204853957,3999.998204853957
t293,3999.9982088853594,3999.9982088853594
t294,3999.998235372761,3999.998235372761
t295,3999.9982000363593,3999.9982000363593
t296,3999.9982034140025,3999.9982034140025
t297,3999.99822848464,3999.99822848464
t298,3999.998205130053,3999.998205130053
t299,3999.9981782709147,3999.9981782709147
t300,3999.9981927909357,3999.9981927909357
t301,3999.998160561068,3999.998160561068
t302,3999.9981659007467,3999.9981659007467
t303,3999.9981920758482,3999.9981920758482
t304,3999.9981726882165,3999.9981726882165
t305,3999.998180641441,3999.998180641441
t306,3999.9982832833493,3999.9982832833493
t307,3999.9982031921754,3999.9982031921754
t308,3999.9982078136463,3999.9982078136463
t309,3999.9982333675716,3999.9982333675716
t310,3999.998196832338,3999.998196832338
t311,3999.9981678303893,3999.9981678303893
t312,3999.9981903910575,3999.9981903910575
t313,3999.998169383542,3999.998169383542
t314,3999.998174922712,3999.998174922712
t315,3999.998186798084,3999.998186798084
t316,3999.998164507021,3999.998164507021
t317,3999.9981684632326,3999.9981684632326
t318,3999.998192036494,3999.998192036494
t319,3999.9981710085117,3999.9981710085117
t320,3999.998166959629,3999.998166959629
t321,3999.9982056534973,3999.9982056534973
t322,3999.9981761886042,3999.9981761886042
t323,3999.9981657645417,3999.9981657645417
t324,3999.997974236648,3999.997974236648
t325,3999.997939983064,3999.997939983064
t326,3999.9979461237735,3999.9979461237735
t327,3999.9979672467607,3999.9979672467607
t328,3999.997957033951,3999.997957033951
t329,3999.9982259069952,3999.9982259069952
t330,3999.9982986300533,3999.9982986300533
t331,3999.998199397445,3999.998199397445
t332,3999.9982043365553,3999.9982043365553
t333,3999.998229401308,3999.998229401308
t334,3999.998209663887,3999.998209663887
t335,3999.9982007513368,3999.9982007513368
t336,3999.9982250462017,3999.9982250462017
t337,3999.998199937024,3999.998199937024
t338,3999.9981716764646,3999.9981716764646
t339,3999.998196138565,3999.998196138565
t340,3999.9981623652743,3999.9981623652743
t341,3999.998166481985,3999.998166481985
t342,3999.9981927408844,3999.9981927408844
t343,3999.9981716518314,3999.9981716518314
t344,3999.998182615825,3999.998182615825
t345,3999.9981878864583,3999.9981878864583
t346,3999.997942843728,3999.997942843728
t347,3999.9979509105115,3999.9979509105115
t348,3999.99797325059,3999.99797325059
t349,3999.9979522300796,3999.9979522300796
t350,3999.9979464860794,3999.9979464860794
t351,3999.9979673604857,3999.9979673604857
t352,3999.9979521380264,3999.9979521380264
t353,3999.9981734532607,3999.9981734532607
t354,3999.998262233487,3999.998262233487
t355,3999.9982225681024,3999.9982225681024
t356,3999.9982226949824,3999.9982226949824
t357,3999.998227234896,3999.998227234896
t358,3999.998205075724,3999.998205075724
t359,3999.998208775531,3999.998208775531
t360,3999.998190250642,3999.998190250642
t361,3999.9981665595337,3999.9981665595337
t362,3999.998170735748,3999.998170735748
t363,3999.998196768024,3999.998196768024
t364,3999.9981742743344,3999.9981742743344
t365,3999.9981658481465,3999.9981658481465
t366,3999.9981932540113,3999.9981932540113
t367,3999.998210552045,3999.998210552045
t368,3999.99826056675,3999.99826056675
t369,3999.998230054244,3999.998230054244
t370,3999.9981617050876,3999.9981617050876
t371,3999.998165511018,3999.998165511018
t372,3999.998192099695,3999.998192099695
t373,3999.9981686166084,3999.9981686166084
t374,3999.998175013981,3999.998175013981
t375,3999.998193067946,3999.998193067946
t376,3999.998201133395,3999.998201133395
t377,3999.9982206940003,3999.9982206940003
t378,3999.9983117854563,3999.9983117854563
t379,3999.9982094724496,3999.9982094724496
t380,3999.9982005233346,3999.9982005233346
t381,3999.998227154243,3999.998227154243
t382,3999.9982051019515,3999.9982051019515
t383,3999.998207293473,3999.998207293473
t384,3999.998203159351,3999.998203159351
t385,3999.998165793357,3999.998165793357
