Resource,NENGREST_Fusion,Total
Zone,1,0
AnnualSum,2.4919293e9,2.4919293e9
t1,238646.37392760767,238646.37392760767
t2,239813.51077628843,239813.51077628843
t3,239708.24759205332,239708.24759205332
t4,238462.99693612836,238462.99693612836
t5,237366.7705126642,237366.7705126642
t6,235258.30203159078,235258.30203159078
t7,233019.32431882093,233019.32431882093
t8,230780.34548678255,230780.34548678255
t9,228541.3713336693,228541.3713336693
t10,230045.7739522905,230045.7739522905
t11,231550.20045406802,231550.20045406802
t12,233054.63039795333,233054.63039795333
t13,234559.0602968125,234559.0602968125
t14,236063.49002208194,236063.49002208194
t15,237567.90321201892,237567.90321201892
t16,238192.73067458472,238192.73067458472
t17,235953.74800323465,235953.74800323465
t18,233714.76710814383,233714.76710814383
t19,231475.78698953212,231475.78698953212
t20,229236.8079507006,229236.8079507006
t21,226997.8308188425,226997.8308188425
t22,228531.9855907171,228531.9855907171
t23,231187.5554230379,231187.5554230379
t24,234988.9482289271,234988.9482289271
t25,238790.36240789774,238790.36240789774
t26,242591.7891109672,242591.7891109672
t27,246393.22394656012,246393.22394656012
t28,250194.66463402906,250194.66463402906
t29,253996.10979389635,253996.10979389635
t30,257797.55692817701,257797.55692817701
t31,261599.00895227634,261599.00895227634
t32,265266.7312196195,265266.7312196195
t33,269252.10111826856,269252.10111826856
t34,273252.0927570593,273252.0927570593
t35,277252.0848029034,277252.0848029034
t36,281252.07697873947,281252.07697873947
t37,285252.0690542649,285252.0690542649
t38,289252.0608794434,289252.0608794434
t39,293252.05215408787,293252.05215408787
t40,297252.04037784593,297252.04037784593
t41,297259.0866287386,297259.0866287386
t42,295020.1076954832,295020.1076954832
t43,292781.12678698596,292781.12678698596
t44,290542.14362033975,290542.14362033975
t45,288303.161512898,288303.161512898
t46,286064.17972471926,286064.17972471926
t47,283825.19817231334,283825.19817231334
t48,281586.2169014844,281586.2169014844
t49,279347.2358659833,279347.2358659833
t50,277108.25499007705,277108.25499007705
t51,274869.2743039681,274869.2743039681
t52,272630.2938626639,272630.2938626639
t53,270391.313750749,270391.313750749
t54,268152.33412821544,268152.33412821544
t55,265913.3552992602,265913.3552992602
t56,263674.37751657976,263674.37751657976
t57,261843.32174215352,261843.32174215352
t58,264005.20737211476,264005.20737211476
t59,267932.8903226079,267932.8903226079
t60,271903.96072995465,271903.96072995465
t61,275875.03132309276,275875.03132309276
t62,279846.10191011836,279846.10191011836
t63,283817.1723038226,283817.1723038226
t64,287788.23990069143,287788.23990069143
t65,289485.875816518,289485.875816518
t66,287246.89561885165,287246.89561885165
t67,285007.91392157116,285007.91392157116
t68,282768.9320743077,282768.9320743077
t69,280529.9513677842,280529.9513677842
t70,278290.97121582966,278290.97121582966
t71,276051.99137710617,276051.99137710617
t72,275841.3883691666,275841.3883691666
t73,277345.7645231387,277345.7645231387
t74,278850.14511541714,278850.14511541714
t75,280354.5241590401,280354.5241590401
t76,281858.90390570293,281858.90390570293
t77,283363.2810060087,283363.2810060087
t78,283753.70270851935,283753.70270851935
t79,281514.7246597994,281514.7246597994
t80,279275.7461935212,279275.7461935212
t81,277849.0364871156,277849.0364871156
t82,279353.4058284651,279353.4058284651
t83,280857.7702232523,280857.7702232523
t84,282362.14323825046,282362.14323825046
t85,283866.51411315316,283866.51411315316
t86,285370.88199386507,285370.88199386507
t87,285211.0272186019,285211.0272186019
t88,282972.0458240696,282972.0458240696
t89,280733.06416937785,280733.06416937785
t90,278494.0820735137,278494.0820735137
t91,276255.09839710005,276255.09839710005
t92,274016.11620158516,274016.11620158516
t93,271777.1346555676,271777.1346555676
t94,269538.1537426856,269538.1537426856
t95,267795.4828454787,267795.4828454787
t96,269299.8400776581,269299.8400776581
t97,270804.2118994864,270804.2118994864
t98,272308.5847571995,272308.5847571995
t99,273812.96172717965,273812.96172717965
t100,275317.3224714194,275317.3224714194
t101,273279.92563707556,273279.92563707556
t102,271040.9448991121,271040.9448991121
t103,268801.96341674996,268801.96341674996
t104,266562.9803299245,266562.9803299245
t105,264323.9983435792,264323.9983435792
t106,262085.01690044603,262085.01690044603
t107,259846.0356163684,259846.0356163684
t108,259847.23673173404,259847.23673173404
t109,261074.68881667664,261074.68881667664
t110,262418.5178116316,262418.5178116316
t111,263672.2804410072,263672.2804410072
t112,264705.81735048664,264705.81735048664
t113,262466.8362048985,262466.8362048985
t114,260227.85467128368,260227.85467128368
t115,257988.87269207573,257988.87269207573
t116,255749.88956725228,255749.88956725228
t117,253510.90753373379,253510.90753373379
t118,251271.9260735091,251271.9260735091
t119,249032.94468691517,249032.94468691517
t120,250537.31031236524,250537.31031236524
t121,252041.68678979363,252041.68678979363
t122,253546.06145954566,253546.06145954566
t123,254481.65533377792,254481.65533377792
t124,252242.67431475903,252242.67431475903
t125,250003.69318899175,250003.69318899175
t126,247764.71200233197,247764.71200233197
t127,245525.73054203164,245525.73054203164
t128,243286.7482157438,243286.7482157438
t129,241047.7679847931,241047.7679847931
t130,238808.78954696926,238808.78954696926
t131,239942.56085172217,239942.56085172217
t132,241446.94189028855,241446.94189028855
t133,242951.34989913175,242951.34989913175
t134,244455.75793273482,244455.75793273482
t135,245960.16586897065,245960.16586897065
t136,247464.55474386242,247464.55474386242
t137,245225.5761078245,245225.5761078245
t138,242986.59344663925,242986.59344663925
t139,240747.61215732852,240747.61215732852
t140,238508.6313034732,238508.6313034732
t141,236269.65110985024,236269.65110985024
t142,234030.67173691007,234030.67173691007
t143,231873.7021716694,231873.7021716694
t144,230865.6270198004,230865.6270198004
t145,229942.768738997,229942.768738997
t146,231447.15291932298,231447.15291932298
t147,232951.5364585664,232951.5364585664
t148,234455.92089549513,234455.92089549513
t149,234003.46244099687,234003.46244099687
t150,231764.48758750423,231764.48758750423
t151,229525.51311810137,229525.51311810137
t152,227286.5400290317,227286.5400290317
t153,227293.38853386292,227293.38853386292
