Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,NENGREST_Fusion,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,4.3167355e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77498.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147745.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147745.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147745.16,0.0,0.0,0.0,710445.0,201846.81,96408.89,0.0,5.8461705e6
t1,0.0,0.0,0.007740486517401304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051827464873909065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41987185133398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41987185130513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41987185000794,0.0,0.0,0.0,58.33586288655509,16.092942291689646,7.936437339620421,0.0,275.63778130351704
t2,0.0,0.0,0.007407610899841016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00514691930280836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.19655346298029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1965534630517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.19655346114178,0.0,0.0,0.0,51.11832451306828,15.051683583217796,7.4555278975640835,0.0,317.2277509112266
t3,0.0,0.0,0.00755710083815033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005163697973068115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.176526939706115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17652694059809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1765269388768,0.0,0.0,0.0,51.27750100697068,14.668622234281143,7.13506451410903,0.0,211.62348937335307
t4,0.0,0.0,0.008603769684849225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005365827006702293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42154975787965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.421549757601476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42154975707389,0.0,0.0,0.0,50.49121003513208,14.499150417596875,7.002919650091397,0.0,193.2718989720669
t5,0.0,0.0,0.008269083370147163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450716454724715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62828121731105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62828121809363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6282812167598,0.0,0.0,0.0,51.793149159309216,15.024303709178074,7.2381556212072224,0.0,222.95417194168388
t6,0.0,0.0,0.007648637563129886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005426141408702305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.778717244643516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77871724422419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77871724372984,0.0,0.0,0.0,69.7438536014154,19.914314575828584,9.504636133179302,0.0,191.51203082199265
t7,0.0,0.0,0.0005905957648705294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004337013573976938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005783918943492532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005783918943487172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005783918943489318,0.0,0.0,0.0,72.33957270686882,20.659624323774437,9.859640414724689,0.0,102.86159691817326
t8,0.0,0.0,0.00012781501079359237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.275390651249488e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012574779089236888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012574779089546517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012574779088951393,0.0,0.0,0.0,74.68991986337011,21.329928107278647,10.17993035034528,0.0,106.20037613328401
