Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,0.0976916,1162.3809,4246.5166,863.5309,6272.526
t1,1.1431346945551459e-5,9.717743195802763e-6,1.3294259976823821e-5,3.433692853074988e-5,1.1431346945551459e-5
t2,1.1484298149854732e-5,9.67326931468206e-6,1.3327686417764737e-5,3.454315634515541e-5,1.1484298149854732e-5
t3,1.1641798213114535e-5,9.602136857635034e-6,1.3195334653620562e-5,3.4775694499735565e-5,1.1641798213114535e-5
t4,1.1411209059222223e-5,9.524443891332512e-6,1.2789975820156117e-5,3.169334474269439e-5,1.1411209059222223e-5
t5,1.1493087795394044e-5,9.51911477925662e-6,1.2791648926822652e-5,3.17614719079301e-5,1.1493087795394044e-5
t6,1.1302044046921197e-5,9.49385908376187e-6,1.2757360295302387e-5,3.158748713113882e-5,1.1302044046921197e-5
t7,1.147013070529397e-5,9.706461110065444e-6,1.331185198460743e-5,3.4317897375737246e-5,1.147013070529397e-5
t8,1.1843365086746176e-5,1.01207659353555e-5,1.4352891007703536e-5,4.26869297383333e-5,1.1843365086746176e-5
t9,1.1439661159785354e-5,9.85707817158541e-6,1.3857536183193253e-5,3.4581575277854284e-5,1.1439661159785354e-5
t10,1.150104602716779e-5,9.797844822963378e-6,1.3392903765248108e-5,3.4348019225675783e-5,1.150104602716779e-5
t11,1.1204108593175052e-5,9.783294616397994e-6,1.3177502023212205e-5,3.362540735938035e-5,1.1204108593175052e-5
t12,1.082283385030457e-5,9.392716462332134e-6,1.2328988457939632e-5,2.7390737786841132e-5,1.082283385030457e-5
t13,1.0876874831907264e-5,9.417778407569774e-6,1.2447978817756134e-5,2.7474484928225848e-5,1.0876874831907264e-5
t14,1.0981962511738484e-5,9.43488189910703e-6,1.2555992570672446e-5,2.765932136270667e-5,1.0981962511738484e-5
t15,1.1523855282905476e-5,9.890319988933207e-6,1.3610249768666443e-5,3.5029451880367895e-5,1.1523855282905476e-5
t16,1.1082668508630665e-5,9.75950205837062e-6,1.3650889269463134e-5,3.1335378103870036e-5,1.1082668508630665e-5
t17,1.2290889480802152e-5,1.1127145881064887e-5,1.7537151322798186e-5,7.504514679976555e-5,1.2290889480802152e-5
t18,1.141707509262976e-5,1.013701115824111e-5,1.5151668948449178e-5,3.4892475702948174e-5,1.141707509262976e-5
t19,1.137139595005737e-5,1.0112316696787131e-5,1.5068362711541785e-5,3.451342971942668e-5,1.137139595005737e-5
t20,1.1542885417926388e-5,1.0205615613871635e-5,1.4891713448952103e-5,3.770867510016801e-5,1.1542885417926388e-5
t21,1.1316648542404411e-5,1.0122530884632767e-5,1.443970045609711e-5,3.7268680191321856e-5,1.1316648542404411e-5
t22,1.1229690000991831e-5,9.916666548340793e-6,1.3934078838418828e-5,3.432549018880918e-5,1.1229690000991831e-5
t23,1.1326803831495173e-5,9.821618699996003e-6,1.3672731796392283e-5,3.440266488777291e-5,1.1326803831495173e-5
t24,1.1388592763696062e-5,9.656298744356371e-6,1.3185704256463932e-5,3.410244080552628e-5,1.1388592763696062e-5
t25,1.1227814179259916e-5,9.391023594904695e-6,1.2496991916023787e-5,3.092747012805882e-5,1.1227814179259916e-5
t26,1.120867486530566e-5,9.094221635897965e-6,1.2200889387198767e-5,3.0663916756598784e-5,1.120867486530566e-5
t27,1.1357660576763213e-5,9.054100590865712e-6,1.2142186881922038e-5,3.0749467571817364e-5,1.1357660576763213e-5
t28,1.1505180882107868e-5,9.054358003417959e-6,1.2137032424669413e-5,3.0798254758934874e-5,1.1505180882107868e-5
t29,1.1507734164173799e-5,9.098748302972187e-6,1.2183067723901606e-5,3.074128379242542e-5,1.1507734164173799e-5
t30,1.1474428371711828e-5,9.282162130114855e-6,1.2375121133896978e-5,3.074294425032393e-5,1.1474428371711828e-5
t31,1.1173051072573223e-5,9.40444804562754e-6,1.2610305751949947e-5,3.0369110978121844e-5,1.1173051072573223e-5
t32,1.1167316353790827e-5,9.599900842959835e-6,1.3094380599903558e-5,3.161067808293356e-5,1.1167316353790827e-5
t33,1.116947481994507e-5,9.720913654147258e-6,1.3202792109711627e-5,3.2479118633117265e-5,1.116947481994507e-5
