,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1846955539047946e8,3.6706366966870446e6,-4.837469526178345e6,1.0087007195777495e6,-1.0087007195777497e6,6272.428426118033,0.09769160000307955,0.0,0.0,-1.17304609e8
t1,11521.607365685299,0.002780273183859174,-193.27253878565185,82.36524251786516,-248.38284361861125,5.7348931703376465e-5,1.1431346945551459e-5,0.0,0.0,-11162.0
t2,10968.806981115684,0.0031444590691790683,-243.60221491737644,73.62553599385016,-242.51344140443442,5.754411207760221e-5,1.1484298149854732e-5,0.0,0.0,-10556.0
t3,10273.344793553382,0.0030691352984391104,-138.54230161799222,73.08118775536084,-102.56674265338084,5.757316601099116e-5,1.1641798213114535e-5,0.0,0.0,-10105.0
t4,10026.217043791337,0.0029685749908094283,-121.27861886924659,71.99328010282034,-98.61466433231854,5.400776445418302e-5,1.1411209059222223e-5,0.0,0.0,-9878.0
t5,10044.29895732218,0.0029827127116615524,-148.89856345198933,74.05560848969452,-126.13897641091395,5.4072235614009375e-5,1.1493087795394044e-5,0.0,0.0,-9843.0
t6,10095.308473189194,0.0029719128884351255,-92.34922651156937,99.16280431042328,-84.80501271405092,5.383870651020308e-5,1.1302044046921197e-5,0.0,0.0,-10017.0
t7,9213.014058063705,1074.451075002979,-0.002759472805315125,102.85883744536794,-0.001213844582782602,5.7336210470410124e-5,1.147013070529397e-5,0.0,0.0,-10390.0
t8,8317.056748907084,2304.0644212457964,-0.0005978122899834352,106.19977832099403,-0.0003781495597327534,6.716058668139234e-5,1.1843365086746176e-5,0.0,0.0,-10727.0
t9,10806.3947590504,380.0588227822277,-0.0020552023297118085,111.86965066604216,-0.001180627925957648,5.8296189632632946e-5,1.1439661159785354e-5,0.0,0.0,-11298.0
t10,12472.518432773242,0.0023607966683846576,-631.4575317012391,117.40953118831926,-99.15278753866097,5.753876781388727e-5,1.150104602716779e-5,0.0,0.0,-11859.0
t11,13977.416103103607,0.005248745214366296,-1798.9962245408126,120.74951825483453,-102.8546382008555,5.658620399899055e-5,1.1204108593175052e-5,0.0,0.0,-12196.0
t12,14461.903452673543,0.0007900192661023706,-2037.303123667547,90.37145834772176,-193.6525150807673,4.91124427071129e-5,1.082283385030457e-5,0.0,0.0,-12321.0
t13,14768.67546466717,0.014166288584409279,-2163.9195957014144,79.74231852862351,-303.1922923988234,4.934024215355175e-5,1.0876874831907264e-5,0.0,0.0,-12381.0
t14,14533.479295614903,0.015173038982029518,-2133.6777212556026,80.82086746465816,-210.31755481608795,4.965019583248614e-5,1.0981962511738484e-5,0.0,0.0,-12270.0
t15,13765.469563109145,0.007897207150918878,-1616.1735412450278,88.41958797902032,-88.40350340271664,5.853002163796754e-5,1.1523855282905476e-5,0.0,0.0,-12149.0
t16,12219.351650144623,0.0033298491913936485,-0.019665599578503817,91.35469934044266,-91.3700041796738,5.474576943170379e-5,1.1082668508630665e-5,0.0,0.0,-12219.0
t17,10973.49282191917,2304.0676286386442,-0.0001568110957187794,132.75979472187734,-0.0001678702706410943,0.00010370944400362863,1.2290889480802152e-5,0.0,0.0,-13410.0
t18,12307.723662096594,2087.6537277797725,-0.002455665350668194,143.95868595359013,-0.013626243046220676,6.0181155809638465e-5,1.141707509262976e-5,0.0,0.0,-14539.0
t19,13232.458643936554,1135.010117936755,-0.0028980810942686197,143.10851625442461,-56.254385657792895,5.96941091277556e-5,1.137139595005737e-5,0.0,0.0,-14454.0
t20,12748.695926153123,1167.7439774441618,-0.0028449543820340943,138.73864707834764,-42.85571491576278,6.280600416299175e-5,1.1542885417926388e-5,0.0,0.0,-14012.0
t21,12708.435101531468,685.9166488146844,-0.0022765114405594766,133.60864933565708,-33.63813027905366,6.183091153205174e-5,1.1316648542404411e-5,0.0,0.0,-13494.0
t22,12877.217499850858,0.0024694583003863407,-0.035488965532112476,126.44233166119892,-231.3068069340555,5.81762355755688e-5,1.1229690000991831e-5,0.0,0.0,-12772.0
t23,11815.53509197318,0.0029288867824318445,-0.025938291140275956,117.58227861116421,-55.77435630538142,5.78970153841612e-5,1.1326803831495173e-5,0.0,0.0,-11877.0
t24,11311.965721015513,0.0025869015233651637,-303.05210796123555,99.78508173372596,-234.3812736517149,5.694444380634659e-5,1.1388592763696062e-5,0.0,0.0,-10874.0
t25,11264.305786819703,0.0028086827186447855,-1214.9579755773068,91.66037503035446,-115.69098318191548,5.2815485638987305e-5,1.1227814179259916e-5,0.0,0.0,-10025.0
t26,11147.692496997326,0.0029467886708950683,-1650.0393980112688,86.490585640088,-72.8266191910177,5.195902777969552e-5,1.120867486530566e-5,0.0,0.0,-9511.0
t27,11078.393172181408,0.002938741184784874,-1785.4769904376965,81.43679013083164,-110.03589731058491,5.194575504460511e-5,1.1357660576763213e-5,0.0,0.0,-9264.0
t28,11183.403670340998,0.0029369637752902408,-1793.0760503437714,67.88011720707034,-249.89066159051637,5.198964518702224e-5,1.1505180882107868e-5,0.0,0.0,-9208.0
t29,11254.090383562045,0.003082616806858033,-1793.0014552517066,93.16648391038625,-143.93848280690423,5.2023099819299216e-5,1.1507734164173799e-5,0.0,0.0,-9410.0
t30,11143.44663918637,0.0030890854992509484,-1309.0949389264783,98.26957795142908,-8.304354309922948,5.240022751433577e-5,1.1474428371711828e-5,0.0,0.0,-9924.0
t31,11111.95156983915,0.002626064000362996,-512.9918078094319,105.89956713094736,-8.54194222247769,5.238386477569933e-5,1.1173051072573223e-5,0.0,0.0,-10696.0
t32,11216.849154381574,0.29681969551641296,-0.003116054359708392,112.17962807494462,-0.002480866598538149,5.430495952579695e-5,1.1167316353790827e-5,0.0,0.0,-11329.0
t33,13877.639985557353,0.003320763069671525,-1798.9986646490943,119.83942794369915,-93.16405402229205,5.540282439697615e-5,1.116947481994507e-5,0.0,0.0,-12105.0
t34,15079.04790367999,0.0009074436439883051,-2028.4988157442822,94.5033446403047,-245.73326708931128,4.902333959154873e-5,1.0791897809430069e-5,0.0,0.0,-12899.0
t35,15502.289921802183,0.10542651115660732,-1973.1065110064612,99.24353793650606,-146.21230377012725,4.945197892461939e-5,1.0866641040706383e-5,0.0,0.0,-13482.0
t36,15675.772854518575,0.10959168236416016,-1918.0234740793908,99.23418973175342,-135.77308835941503,4.904155344012934e-5,1.0744078438711544e-5,0.0,0.0,-13721.0
t37,15655.305749441559,0.10855755676851706,-1919.340644103487,96.9402917430764,-133.69388200610607,4.930218239046935e-5,1.0802149318231314e-5,0.0,0.0,-13699.0
t38,15589.611340082609,0.10900132053422579,-1928.4400038314495,93.41413467716801,-143.37440096509584,4.9415702754927385e-5,1.0837903435707641e-5,0.0,0.0,-13611.0
t39,15648.042168606486,0.10800730284759277,-1965.0952587816146,89.97230483780115,-204.70714939301615,4.9574607468842105e-5,1.0862337607871506e-5,0.0,0.0,-13568.0
t40,15573.325330187521,0.01635651965231736,-1799.0205034431383,98.72025286659839,-98.72138638056529,5.197081952318016e-5,1.107294985913557e-5,0.0,0.0,-13774.0
t41,14685.907235592833,380.3726825250608,-0.0026366732201099923,112.3675365200602,-112.32482618903566,6.18595642914153e-5,1.1377427351128283e-5,0.0,0.0,-15066.0
