Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,NENGREST_Fusion
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,329.2954673894317,262499.69380714936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21096208247621,4470.274056208637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.2581328659823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26925013267256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.269250132645595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.269250131449915,0.0,0.0,0.0,250.03408219311896,82.74813575512073,29.089175410009286,0.0
t2,0.0,439.1438034821751,262499.6993988324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57991831324336,4470.277996718577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.27789067399308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9693605035807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.96936050362248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.96936050066617,0.0,0.0,0.0,120.65149803215004,51.15877829677958,21.17321161873559,0.0
t3,0.0,561.7212426168567,262499.70512171334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.948867352988124,4470.28195473321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2563346440209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.45107226402877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.4510722648911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.45107226035122,0.0,0.0,0.0,105.94196437916816,39.927301442569224,17.628667227907865,0.0
t4,0.0,629.1412992186429,262499.71179117326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.317834904748125,4470.2861029779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.4179335200179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.63822408629932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.63822408690578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.63822408188045,0.0,0.0,0.0,91.6610311919154,30.65187374358815,14.563643884643522,0.0
t5,0.0,641.4687696626856,262499.7181559516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.69500896685435,4470.290330434781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.80940016805704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.2955665995568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.29556660088326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.2955665946308,0.0,0.0,0.0,51.62639479473951,21.795403838667905,11.37138226552025,0.0
t6,0.0,598.7031864659822,262499.723982619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.45382797709527,4470.294542539877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.30119154023373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.6113125643078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.61131256524845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.6113125585412,0.0,0.0,0.0,69.73955597409127,19.910428180278675,9.500988340930084,0.0
t7,0.0,500.77803100967765,261439.86840228303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58710375296234,4467.710479000252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.6179918189342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.67794064123493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.67794064204338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.6779406374766,0.0,0.0,0.0,142.07871930775568,40.56965113557677,19.360225652753044,0.0
t8,0.0,370.05202856765726,259398.29701216132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.10179796194383,4431.915618070219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.75987922140698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68346125656975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68346125693362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68346125511192,0.0,0.0,0.0,216.76851134352674,61.899453979087845,29.54003094490482,0.0
t9,0.0,294.2871697815259,259117.28656689991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23528398533392,4429.21393626902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.14228589583166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014056235893188478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014056235893191156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014056235893189573,0.0,0.0,0.0,295.4479941224575,84.36894532465206,40.25952685852595,0.0
