Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,NENGREST_Fusion
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-93.80617024423859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8091675491023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90448465638572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.9044846563857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90448465638569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,-93.80617109141411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8092030430633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90437131590896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90437131590895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90437131590893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,-93.80617197015326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.80923894476145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90434915243368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90434915243367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90434915243365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,-93.8061728684551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8092753784656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.9043574877281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90435748772809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90435748772808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,-93.80617375662084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.80931118200168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.9044015393628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90440153936278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90440153936277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,-93.80617463426245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8093468686575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.9045332067336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90453320673359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90453320673357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,-93.80617550205314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.80938248505302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51759784467936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51759784467936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51759784467936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,-93.80617630116787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.80941772323402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51753928641985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51753928641985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.51753928641985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,-93.8061769943189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8094494632566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.39083435043193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.39083435043113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.39083435043202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
