Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,NENGREST_Fusion
1,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.392,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.8092,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.6196,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.481509626,0.0,0.495306522,1.0,1.0,1.0,1.0,1.0,0.723427296,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.878662527,0.0,0.524105848,0.524011001,0.524379433,1.0
2,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3702,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.8661,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.5305,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.44781062,0.0,0.785767376,1.0,1.0,1.0,1.0,1.0,0.741629243,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.802598238,0.0,0.503987434,0.503913687,0.504432624,1.0
3,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3225,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.8695,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.4943,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.381781459,0.0,0.982372284,1.0,1.0,1.0,1.0,1.0,0.76918143,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80714941,0.0,0.495891735,0.495874762,0.496010638,1.0
4,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3422,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.8387,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.4408,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.342624962,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.764603734,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.734698594,0.0,0.494925085,0.494817009,0.495124113,1.0
5,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3952,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.7721,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.4408,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.359862238,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.707345366,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.730946124,0.0,0.500483325,0.500528877,0.500443262,1.0
6,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4271,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.8077,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3164,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.411332548,0.0,0.993359685,1.0,1.0,1.0,1.0,1.0,0.76887989,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.668768585,0.0,0.514439343,0.514491221,0.51462766,1.0
7,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4266,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.695,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3301,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.391038597,0.0,0.966036022,1.0,1.0,1.0,1.0,1.0,0.63568294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.531463563,0.0,0.538484775,0.538607997,0.53856383,1.0
8,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3633,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.5624,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2867,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.332429647,0.0,0.99403441,1.0,1.0,1.0,1.0,1.0,0.504585385,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.448241681,0.0,0.564403093,0.564417178,0.564716312,1.0
9,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3713,0.3901,0.2406,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.627,0.3178,0.2384,1.0,0.6624,1.0,1.0,1.0,0.3032,0.6624,0.1933,1.0,1.0,1.0,1.0,1.0,0.34316197,0.437668353,1.0,1.0,1.0,1.0,1.0,1.0,0.59841913,0.425316781,1.0,1.0,1.0,1.0,1.0,1.0,0.375696719,0.422520816,0.601135814,0.601015443,0.601507092,1.0
10,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3806,0.3901,0.4691,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.5681,0.3178,0.4718,1.0,0.6624,1.0,1.0,1.0,0.4096,0.6624,0.418,1.0,1.0,1.0,1.0,1.0,0.302021444,0.733755112,1.0,1.0,1.0,1.0,1.0,1.0,0.56215322,0.727232456,1.0,1.0,1.0,1.0,1.0,1.0,0.472504824,0.714558601,0.628685355,0.62872858,0.628989362,1.0
